Title,Link,Published,Published_utc,Predicted_Risks_Upd,Recency_Upd,Acceleration_value_Upd,Source_Accuracy_Upd,Impact_Score_Upd,Location_Upd,Industry_Risk_Upd,Frequency_Score_Upd,Change reason,Changed_at,Reviewed,Reviewed_at,Unnamed: 0,story_id,canonical_title,summary,article_count,avg_risk_score,avg_frequency,avg_recency,avg_acceleration,avg_source_accuracy,avg_impact_score,avg_industry_risk,avg_location,risk_label,last_seen,item_type,Content,Source,Entities,Topic,Probability,Predicted_Risks,Location,pred_source,Predicted_Risks_new,Pred_LR_label,Pred_cos_label_all,Pred_cos_score_all,University Label,Pred_LR_margin,chosen_label_sim,best_alt_sim,semantic_margin,Week,Days_Ago,_RiskList,Risk_item,Source_Accuracy,Frequency_Score,Industry_Risk_Presence,_tulane_flag,Industry_Risk_Peer,Industry_Risk,Impact_Score,Article_Freshness,Recency,Acceleration_value,Risk_Score,Weights,Summary,Keyword,Text,ArticleID,Source_bias,Published_raw,Time_Window,Acceleration,Detected_Risks,ArticleID.19,ArticleID.18,ArticleID.17,ArticleID.16,ArticleID.15,ArticleID.14,ArticleID.13,ArticleID.12,ArticleID.11,ArticleID.10,ArticleID.9,ArticleID.8,ArticleID.7,ArticleID.6,ArticleID.5,ArticleID.4,ArticleID.3,ArticleID.2,ArticleID.1,article_freshness,Recency_TR_Blended,Sentiment Score,Detected_HigherEd_Categories,Predicted_Risk_Single,StreamlitCosine,Assigned_how,last_seen_days,decayed_volume,recency_score_tr_tr,Keywords,is_tulane_specific,is_local_relevance,is_urgent_weather,is_major_policy,is_major_incident,immediate_alert_score,immediate_alert_override,is_immediate_alert,immediate_alert_priority,immediate_alert_reason,classification_disagreement,average_risk_score,average_recency,articles,canonical_source,story_articles_count,Window,Cluster,Event_Label,Event_Severity,Embeddings,Manual_Cross_List,Manual_Risk_Confidence,Manual_Risk_Reason,Cross_List_Source_Risk,Link_norm,dedupe_key,Risk_Normalized,Topic_name,Risk_Score_y,Content_trunc,Story_Recency_Score,Story_Recency
60-Year-Old Gave Himself Early 20th Century Psychosis After He Went To ChatGPT For Diet Advice,https://www.huffpost.com/entry/salt-chatgpt-bromine-psychosis_n_68964b6ae4b04eeb1a12b717,2025-08-08 21:38:35,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not relevant to Tulane,2025-08-15 00:33:54+00:00,1,2025-08-15 00:33:54.751091+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-Year-Old Gave Himself Early 20th Century Psychosis After He Went To ChatGPT For Diet Advice,https://www.huffpost.com/entry/salt-chatgpt-bromine-psychosis_n_68964b6ae4b04eeb1a12b717,2025-08-08 21:38:35,,,,,,,,,,,2025-08-15 00:34:19.335893+00:00,1,2025-08-15 00:34:19.335871+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI porn victims see Hong Kong unprepared for threat,https://www.newsargus.com/news/national/ai-porn-victims-see-hong-kong-unprepared-for-threat/article_f9a426d3-b4ee-579e-80ee-88f83280c8bc.html,2025-08-12 05:31:00,,['Controversial Public Incident'],5.0,0.0,1.0,0.0,0.0,0.0,1.0,,2025-08-15 00:37:47+00:00,1,2025-08-15 00:37:47.245677+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI porn victims see Hong Kong unprepared for threat,https://www.newsargus.com/news/national/ai-porn-victims-see-hong-kong-unprepared-for-threat/article_f9a426d3-b4ee-579e-80ee-88f83280c8bc.html,2025-08-12 05:31:00,,,,,,,,,,,2025-08-15 00:37:57.867586+00:00,1,2025-08-15 00:37:57.867553+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-level results day 2025: full guide to Ucas clearing,https://www.thetimes.com/uk/education/article/a-level-results-day-2025-ucas-clearing-guide-k3rxkvx2j,2025-08-14 05:32:00,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,no risk to Tulane,2025-08-15 00:41:03+00:00,1,2025-08-15 00:41:03.962757+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Your Feedback on Maximizing Research Funds by Limiting Allowable Publication Costs,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/08/share-your-feedback-on-maximizing-research-funds-by-limiting-allowable-publication-costs,2025-08-01 15:52:20,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,This is no risk because it's survey site designed for people to share their feedback.,2025-08-15 15:54:50+00:00,1,2025-08-15 15:54:50.448422+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Your Feedback on Maximizing Research Funds by Limiting Allowable Publication Costs,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/08/share-your-feedback-on-maximizing-research-funds-by-limiting-allowable-publication-costs,2025-08-01 15:52:20,,,,,,,,,,,2025-08-15 15:54:57.680981+00:00,1,2025-08-15 15:54:57.680960+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Responsibly: Policy on AI Use in NIH Research Applications and Limiting Submissions per PI,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/07/apply-responsibly-policy-on-ai-use-in-nih-research-applications-and-limiting-submissions-per-pi,2025-07-31 19:00:59,,['Research Funding Disruption'],5.0,4.0,5.0,3.0,4.0,4.0,3.0,"Recency :This is a current policy announcement with a specific implementation date (September 25, 2025) that will affect all future NIH grant applications.

Acceleration (Trend Momentum) - 4/5; Rationale: Represents a significant shift in NIH policy that follows growing concerns about AI use in academic contexts. The trend of AI regulation in research is accelerating.

Source Accuracy (Credibility) - 5/5; Rationale: Information comes directly from the official NIH website, representing the highest level of source credibility.

Impact (Severity) - 3/5; Rationale: While affecting a small percentage of researchers (1.3% submit >6 applications annually), the policy could significantly impact high-volume researchers and requires institutional adaptation to new compliance requirements.

Location (Geospatial) - 4/5; Rationale: As a research university with significant NIH funding, Tulane is directly affected by this nationwide policy change.

Industry Risk (Sector) - 4/5; Rationale: Research universities heavily dependent on NIH funding will need to adapt processes and policies, representing a sector-wide adjustment.
Frequency (Historical Recurrence) - 3/5; Rationale: While regulatory changes to grant applications occur periodically, this specific AI-focused restriction represents a novel development in research funding oversight. ",2025-08-15 16:53:57+00:00,1,2025-08-15 16:53:57.458290+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Responsibly: Policy on AI Use in NIH Research Applications and Limiting Submissions per PI,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/07/apply-responsibly-policy-on-ai-use-in-nih-research-applications-and-limiting-submissions-per-pi,2025-07-31 19:00:59,,['Research Funding Disruption'],5.0,4.0,5.0,3.0,4.0,4.0,3.0,"Recency :This is a current policy announcement with a specific implementation date (September 25, 2025) that will affect all future NIH grant applications.

Acceleration (Trend Momentum) - 4/5; Rationale: Represents a significant shift in NIH policy that follows growing concerns about AI use in academic contexts. The trend of AI regulation in research is accelerating.

Source Accuracy (Credibility) - 5/5; Rationale: Information comes directly from the official NIH website, representing the highest level of source credibility.

Impact (Severity) - 3/5; Rationale: While affecting a small percentage of researchers (1.3% submit >6 applications annually), the policy could significantly impact high-volume researchers and requires institutional adaptation to new compliance requirements.

Location (Geospatial) - 4/5; Rationale: As a research university with significant NIH funding, Tulane is directly affected by this nationwide policy change.

Industry Risk (Sector) - 4/5; Rationale: Research universities heavily dependent on NIH funding will need to adapt processes and policies, representing a sector-wide adjustment.
Frequency (Historical Recurrence) - 3/5; Rationale: While regulatory changes to grant applications occur periodically, this specific AI-focused restriction represents a novel development in research funding oversight. ",2025-08-15 16:54:20+00:00,1,2025-08-15 16:54:20.454087+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Responsibly: Policy on AI Use in NIH Research Applications and Limiting Submissions per PI,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/07/apply-responsibly-policy-on-ai-use-in-nih-research-applications-and-limiting-submissions-per-pi,2025-07-31 19:00:59,,,,,,,,,,,2025-08-15 16:56:22.356653+00:00,1,2025-08-15 16:56:22.356621+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Responsibly: Policy on AI Use in NIH Research Applications and Limiting Submissions per PI,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/07/apply-responsibly-policy-on-ai-use-in-nih-research-applications-and-limiting-submissions-per-pi,2025-07-31 19:00:59,,['Research Funding Disruption'],5.0,4.0,5.0,3.0,4.0,4.0,3.0,"This is a current policy announcement with a specific implementation date (September 25, 2025) that will affect all future NIH grant applications. Represents a significant shift in NIH policy that follows growing concerns about AI use in academic contexts. The trend of AI regulation in research is accelerating.   ",2025-08-15 16:59:47+00:00,1,2025-08-15 16:59:47.426082+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIH Fellowship Funding Opportunities Are Here,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/07/nih-fellowship-funding-opportunities-are-here,2025-07-16 20:18:20,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,"This represents a positive opportunity for Tulane researchers to secure additional funding through standard NIH fellowship programs, rather than a threat to the institution.",2025-08-15 17:06:13+00:00,1,2025-08-15 17:06:13.350566+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIH Fellowship Funding Opportunities Are Here,https://grants.nih.gov/news-events/nih-extramural-nexus-news/2025/07/nih-fellowship-funding-opportunities-are-here,2025-07-16 20:18:20,,,,,,,,,,,2025-08-15 17:06:22.812953+00:00,1,2025-08-15 17:06:22.812921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readers React: Shame on Southeastern,https://lailluminator.com/2025/08/01/southeastern-letter/,2025-08-01 15:08:27,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,"In this case, while academic freedom in environmental research is important, a letter from alumni about an incident at Southeastern Louisiana University doesn't demonstrate a pattern that would directly threaten Tulane's operations or reputation.",2025-08-15 17:13:52+00:00,1,2025-08-15 17:13:52.623178+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readers React: Shame on Southeastern,https://lailluminator.com/2025/08/01/southeastern-letter/,2025-08-01 15:08:27,,,,,,,,,,,2025-08-15 17:14:04.359976+00:00,1,2025-08-15 17:14:04.359944+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University sidelines scientist who exposed toxic metals in Lake Maurepas,https://lailluminator.com/2025/07/31/southeastern-sidelines-scientist/,2025-07-31 23:04:21,,['No Risk'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,an isolated academic freedom issue at another Louisiana university doesn't rise to the level of a significant threat to Tulane specifically,2025-08-15 17:19:17+00:00,1,2025-08-15 17:19:17.812546+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University sidelines scientist who exposed toxic metals in Lake Maurepas,https://lailluminator.com/2025/07/31/southeastern-sidelines-scientist/,2025-07-31 23:04:21,,,,,,,,,,,2025-08-15 17:19:25.042522+00:00,1,2025-08-15 17:19:25.042492+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Student loan caps might worsen the national doctor shortage, critics worry",https://lailluminator.com/2025/07/28/student-loan-medical/,2025-07-28 10:00:40,,['Enrollment Pressure'],5.0,4.0,4.0,4.0,4.0,5.0,3.0,"The $50,000 annual cap on unsubsidized federal loans for medical school will significantly impact Tulane's School of Medicine and potentially other graduate programs. Specifically mentions Louisiana's projected physician shortage of 5,000 doctors by 2030, directly affecting Tulane's operating environment. This federal policy change affects all higher education institutions with medical schools and graduate programs",2025-08-15 17:25:34+00:00,1,2025-08-15 17:25:34.448564+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Student loan caps might worsen the national doctor shortage, critics worry",https://lailluminator.com/2025/07/28/student-loan-medical/,2025-07-28 10:00:40,,,,,,,,,,,2025-08-15 17:25:56.870384+00:00,1,2025-08-15 17:25:56.870361+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump administration asks Supreme Court to allow NIH to cancel health grants,https://thehill.com/policy/healthcare/5419201-trump-nih-grants-supreme-court/,2025-07-24 22:14:02,,['Research Funding Disruption'],5.0,5.0,4.0,5.0,4.0,5.0,4.0,"The administration has already canceled grants and is aggressively pursuing legal action to continue cancellations, with 21 previous emergency applications to the Supreme Court (nearly all successful).  Direct threat to $783 million in federal research grants related to health equity, racial disparities, and other DEI-adjacent research areas that are likely relevant to Tulane's research portfolio.",2025-08-15 17:39:12+00:00,1,2025-08-15 17:39:12.801298+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump administration asks Supreme Court to allow NIH to cancel health grants,https://thehill.com/policy/healthcare/5419201-trump-nih-grants-supreme-court/,2025-07-24 22:14:02,,,,,,,,,,,2025-08-15 17:39:57.847235+00:00,1,2025-08-15 17:39:57.847213+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trump’s big proposed cuts to health, education spending rebuffed by Senate panel",https://lailluminator.com/2025/07/31/repub/trump-health-education/,2025-07-31 20:54:36,,['Research Funding Disruption'],5.0,4.0,3.5,4.0,4.0,5.0,3.0," The potential disruption to federal funding for research, education, and health programs directly impacts Tulane's operations and strategic priorities. 
The situation is actively developing with congressional pushback against administration proposals, indicating ongoing tension as the September 30 fiscal year deadline approaches.",2025-08-16 00:02:18+00:00,1,2025-08-16 00:02:18.888350+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trump’s big proposed cuts to health, education spending rebuffed by Senate panel",https://lailluminator.com/2025/07/31/repub/trump-health-education/,2025-07-31 20:54:36,,,,,,,,,,,2025-08-16 00:02:25.304523+00:00,1,2025-08-16 00:02:25.304495+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This summer has been unrelentingly hot. Humidity is making it feel worse.,https://www.nbcnews.com/science/science-news/summer-unrelentingly-hot-humidity-making-feel-worse-rcna222456,2025-08-01 20:14:41,,['Hurricane/Flood/Wildfire'],5.0,3.0,4.0,2.0,1.0,3.0,3.0,"Extreme heat and humidity events are becoming more frequent, with this summer setting new records across multiple metrics.
While not catastrophic, the extreme heat and humidity directly impact campus operations, student/employee health, and infrastructure systems at Tulane's New Orleans campus.",2025-08-16 00:10:29+00:00,1,2025-08-16 00:10:29.608113+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This summer has been unrelentingly hot. Humidity is making it feel worse.,https://www.nbcnews.com/science/science-news/summer-unrelentingly-hot-humidity-making-feel-worse-rcna222456,2025-08-01 20:14:41,,,,,,,,,,,2025-08-16 00:10:32.533762+00:00,1,2025-08-16 00:10:32.533737+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
